,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,0.0,0.48495401006953665,0.4754734362396495,0.4682668669134383,0.4138733638005907,0.4138527233924587,0.442815564300154,0.46730493780067045,0.46892397379118694
instanceNumber,0.0,1.0,0.0,3.508597810194164e-05,-0.0006462708144397656,-0.0019317497153105618,-0.001929113572299156,0.0007242384172118596,-0.0006384619908746961,-0.0006351205497378015
nodeNumber,0.48495401006953665,0.0,1.0,0.42033624164149286,0.3679392368857115,0.3161902667238498,0.3148061425643271,0.3415989877024032,0.36913282977299183,0.3680671793232173
degreeRank,0.4754734362396495,3.508597810194164e-05,0.42033624164149286,1.0,0.6899907278521572,0.6859384407806817,0.6825885189517769,0.6420092100384053,0.7083222415569896,0.7975657889667671
closenessRank,0.4682668669134383,-0.0006462708144397656,0.3679392368857115,0.6899907278521572,1.0,0.7473417343615508,0.7419600337779979,0.7582944245876182,0.9718614554340653,0.7704277734889724
betweennessRank,0.4138733638005907,-0.0019317497153105618,0.3161902667238498,0.6859384407806817,0.7473417343615508,1.0,0.9877363842224102,0.6710194515487196,0.7647753037256435,0.8081308319441143
loadRank,0.4138527233924587,-0.001929113572299156,0.3148061425643271,0.6825885189517769,0.7419600337779979,0.9877363842224102,1.0,0.6653609609156385,0.7591944916945488,0.8063770934623842
reachRank,0.442815564300154,0.0007242384172118596,0.3415989877024032,0.6420092100384053,0.7582944245876182,0.6710194515487196,0.6653609609156385,1.0,0.7771226141344602,0.6266631654394964
harmonicRank,0.46730493780067045,-0.0006384619908746961,0.36913282977299183,0.7083222415569896,0.9718614554340653,0.7647753037256435,0.7591944916945488,0.7771226141344602,1.0,0.794646183274472
pageRank,0.46892397379118694,-0.0006351205497378015,0.3680671793232173,0.7975657889667671,0.7704277734889724,0.8081308319441143,0.8063770934623842,0.6266631654394964,0.794646183274472,1.0
