,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,0.0,0.5953882660704258,0.5851926719507146,0.5841355000004398,0.5192943724423196,0.5192709776462469,0.5507372961676099,0.5831209621165441,0.5850794073121628
instanceNumber,0.0,1.0,0.0,2.6425132328676762e-05,-0.0007168226923357945,-0.0028360799890581913,-0.002831083321083915,0.0009347155689761924,-0.0006980286714939909,-0.0006962044202407006
nodeNumber,0.5953882660704258,0.0,1.0,0.5758830311314042,0.5190252617491471,0.45114755018490077,0.4494885254705562,0.48128648706908445,0.5203538328588043,0.5187842613489165
degreeRank,0.5851926719507146,2.6425132328676762e-05,0.5758830311314042,1.0,0.8675365352230253,0.8411487900957634,0.8394493654996881,0.8104306209953148,0.880636868436062,0.9280772355355559
closenessRank,0.5841355000004398,-0.0007168226923357945,0.5190252617491471,0.8675365352230253,1.0,0.9117137955380437,0.9081122200797355,0.8421100031240512,0.9982306515081626,0.9169684245541234
betweennessRank,0.5192943724423196,-0.0028360799890581913,0.45114755018490077,0.8411487900957634,0.9117137955380437,1.0,0.999635261919036,0.8177599499305617,0.923235389916831,0.9440707484960085
loadRank,0.5192709776462469,-0.002831083321083915,0.4494885254705562,0.8394493654996881,0.9081122200797355,0.999635261919036,1.0,0.8144581517676137,0.9198290626154823,0.9431028659431291
reachRank,0.5507372961676099,0.0009347155689761924,0.48128648706908445,0.8104306209953148,0.8421100031240512,0.8177599499305617,0.8144581517676137,1.0,0.8432408959857289,0.7884311170791268
harmonicRank,0.5831209621165441,-0.0006980286714939909,0.5203538328588043,0.880636868436062,0.9982306515081626,0.923235389916831,0.9198290626154823,0.8432408959857289,1.0,0.9325165001336814
pageRank,0.5850794073121628,-0.0006962044202407006,0.5187842613489165,0.9280772355355559,0.9169684245541234,0.9440707484960085,0.9431028659431291,0.7884311170791268,0.9325165001336814,1.0
