,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,0.0,0.5953882660704258,0.5598888310600335,0.5955907250518566,0.5953916099537613,0.5953916099537613,0.5956071466572159,0.5956099135991432,0.5953883599262156
instanceNumber,0.0,1.0,0.0,0.0007898531257295317,-4.9635826773152334e-06,-2.0586551580013444e-07,-2.0586551580013444e-07,2.817720255379494e-06,1.3234242307302954e-06,1.312264636697581e-07
nodeNumber,0.5953882660704258,0.0,1.0,0.34074876458900205,0.3624841384977687,0.36129343754687976,0.36125652825711363,0.3623844257668329,0.36238547205989746,0.3614195919067574
degreeRank,0.5598888310600335,0.0007898531257295317,0.34074876458900205,1.0,0.9543657173223824,0.9858452121108864,0.9847634729050302,0.9640439885024672,0.9640431982405321,0.9929470607556569
closenessRank,0.5955907250518566,-4.9635826773152334e-06,0.3624841384977687,0.9543657173223824,1.0,0.9541671555336279,0.9511512394192366,0.9990070693692435,0.9990070984754509,0.9346200627759617
betweennessRank,0.5953916099537613,-2.0586551580013444e-07,0.36129343754687976,0.9858452121108864,0.9541671555336279,1.0,0.9997452447029812,0.9629881548430527,0.9629881154956005,0.989749457942814
loadRank,0.5953916099537613,-2.0586551580013444e-07,0.36125652825711363,0.9847634729050302,0.9511512394192366,0.9997452447029812,1.0,0.960140722608323,0.9601406849663352,0.9896620229189746
reachRank,0.5956071466572159,2.817720255379494e-06,0.3623844257668329,0.9640439885024672,0.9990070693692435,0.9629881548430527,0.960140722608323,1.0,0.9999999572848224,0.9460128802003385
harmonicRank,0.5956099135991432,1.3234242307302954e-06,0.36238547205989746,0.9640431982405321,0.9990070984754509,0.9629881154956005,0.9601406849663352,0.9999999572848224,1.0,0.9460125775037647
pageRank,0.5953883599262156,1.312264636697581e-07,0.3614195919067574,0.9929470607556569,0.9346200627759617,0.989749457942814,0.9896620229189746,0.9460128802003385,0.9460125775037647,1.0
