,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,0.0,0.5953882660704258,0.6053133237342335,0.5968301311244092,0.5953882660704258,0.5953882660704258,0.5959432376018567,0.5958259207735329,0.5953882660704258
instanceNumber,0.0,1.0,0.0,-0.00021644491758918494,-4.216080454105704e-05,0.0,0.0,6.364227530089176e-06,6.846223391677958e-06,0.0
nodeNumber,0.5953882660704258,0.0,1.0,0.9033637895443883,0.8950562111718233,0.850999678434498,0.8436702334043232,0.9026925269620758,0.9026837458741208,0.8879463480724337
degreeRank,0.6053133237342335,-0.00021644491758918494,0.9033637895443883,1.0,0.8931902215585404,0.9824033346340766,0.9811693426080059,0.9137991985848888,0.9137914032417216,0.9973961409897408
closenessRank,0.5968301311244092,-4.216080454105704e-05,0.8950562111718233,0.8931902215585404,1.0,0.8739277986401529,0.8622431933365283,0.9980005159685454,0.9979984685889588,0.8752784662319225
betweennessRank,0.5953882660704258,0.0,0.850999678434498,0.9824033346340766,0.8739277986401529,1.0,0.9993135930669284,0.8955533870552862,0.8955453983270856,0.9869656813271297
loadRank,0.5953882660704258,0.0,0.8436702334043232,0.9811693426080059,0.8622431933365283,0.9993135930669284,1.0,0.8848497280574769,0.8848403355821167,0.9868319637851254
reachRank,0.5959432376018567,6.364227530089176e-06,0.9026925269620758,0.9137991985848888,0.9980005159685454,0.8955533870552862,0.8848497280574769,1.0,0.9999991303443728,0.8975895562556173
harmonicRank,0.5958259207735329,6.846223391677958e-06,0.9026837458741208,0.9137914032417216,0.9979984685889588,0.8955453983270856,0.8848403355821167,0.9999991303443728,1.0,0.89758276712951
pageRank,0.5953882660704258,0.0,0.8879463480724337,0.9973961409897408,0.8752784662319225,0.9869656813271297,0.9868319637851254,0.8975895562556173,0.89758276712951,1.0
