,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,0.0,0.48495401006953665,0.4396624910415194,0.4854761287490537,0.48495401006953665,0.48495401006953665,0.4853606713807589,0.4853281655192531,0.48495401006953665
instanceNumber,0.0,1.0,0.0,-0.001782792350697952,-3.680243508733538e-06,0.0,0.0,8.260443476295656e-06,5.363176749292638e-06,0.0
nodeNumber,0.48495401006953665,0.0,1.0,0.22275605521870587,0.24345850830260699,0.2454878059030406,0.24553416836575703,0.24334018745146072,0.24332281198246383,0.24601805742777014
degreeRank,0.4396624910415194,-0.001782792350697952,0.22275605521870587,1.0,0.7273518305238627,0.8007478450477192,0.7921778555032047,0.7586503081666667,0.7586623879967666,0.8951874594932401
closenessRank,0.4854761287490537,-3.680243508733538e-06,0.24345850830260699,0.7273518305238627,1.0,0.8184259212419195,0.8154660447992735,0.9635093644737773,0.9634927844124322,0.6975584098994527
betweennessRank,0.48495401006953665,0.0,0.2454878059030406,0.8007478450477192,0.8184259212419195,1.0,0.9835087331166809,0.8430283804907648,0.8430349212337503,0.8069357514134355
loadRank,0.48495401006953665,0.0,0.24553416836575703,0.7921778555032047,0.8154660447992735,0.9835087331166809,1.0,0.8386994880852842,0.8387055973532369,0.8007072629657659
reachRank,0.4853606713807589,8.260443476295656e-06,0.24334018745146072,0.7586503081666667,0.9635093644737773,0.8430283804907648,0.8386994880852842,1.0,0.9999738412472501,0.727362482397871
harmonicRank,0.4853281655192531,5.363176749292638e-06,0.24332281198246383,0.7586623879967666,0.9634927844124322,0.8430349212337503,0.8387055973532369,0.9999738412472501,1.0,0.7273689488645797
pageRank,0.48495401006953665,0.0,0.24601805742777014,0.8951874594932401,0.6975584098994527,0.8069357514134355,0.8007072629657659,0.727362482397871,0.7273689488645797,1.0
