,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,-3.147847502946916e-17,0.5885314737467633,0.5371821400574706,0.5885467508655728,0.5885314737467517,0.5885314737467522,0.5887747619973887,0.5887591284368814,0.5885314737467525
instanceNumber,-3.147847502946916e-17,1.0,-4.27622170371191e-16,-0.0010964624135359586,-3.4322172931919943e-06,-2.2723551655549057e-16,-2.300086805485629e-16,3.452415441473605e-06,2.112442373776216e-06,-2.0782760819561666e-16
nodeNumber,0.5885314737467633,-4.27622170371191e-16,1.0,0.31180722082719053,0.3395143399363676,0.34275581226109725,0.34284710787779543,0.33979495758150996,0.3397856125983377,0.34389558167970175
degreeRank,0.5371821400574706,-0.0010964624135359586,0.31180722082719053,1.0,0.8939941772300274,0.9385532942396146,0.9333345331075723,0.9128851182716561,0.912883419087358,0.9858727598979519
closenessRank,0.5885467508655728,-3.4322172931919943e-06,0.3395143399363676,0.8939941772300274,1.0,0.9539055170326225,0.9523445672713985,0.99842000521757,0.9984200545015488,0.8705505776332385
betweennessRank,0.5885314737467517,-2.2723551655549057e-16,0.34275581226109725,0.9385532942396146,0.9539055170326225,1.0,0.9995551548298683,0.9641464491815157,0.9641452734135666,0.940896137904131
loadRank,0.5885314737467522,-2.300086805485629e-16,0.34284710787779543,0.9333345331075723,0.9523445672713985,0.9995551548298683,1.0,0.9621920971751214,0.9621909131494989,0.9370973407441268
reachRank,0.5887747619973887,3.452415441473605e-06,0.33979495758150996,0.9128851182716561,0.99842000521757,0.9641464491815157,0.9621920971751214,1.0,0.9999999068004363,0.8908165244410798
harmonicRank,0.5887591284368814,2.112442373776216e-06,0.3397856125983377,0.912883419087358,0.9984200545015488,0.9641452734135666,0.9621909131494989,0.9999999068004363,1.0,0.8908138848736419
pageRank,0.5885314737467525,-2.0782760819561666e-16,0.34389558167970175,0.9858727598979519,0.8705505776332385,0.940896137904131,0.9370973407441268,0.8908165244410798,0.8908138848736419,1.0
