,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,-2.7540464015838652e-17,0.5885314737467743,0.5640093378554829,0.539066637668631,0.49092886830767407,0.4909224922188151,0.5428671403923702,0.5387406981048665,0.5403715315126407
instanceNumber,-2.7540464015838652e-17,1.0,-4.310590659873792e-16,-5.375205319177779e-05,-0.00017364591438029004,-0.0006977575753225966,-0.0006967870126881202,0.00038048927306209997,-0.00016620495642855353,-0.000162326969236084
nodeNumber,0.5885314737467743,-4.310590659873792e-16,1.0,0.5334900397331932,0.46129799592363563,0.4160840858293349,0.41414569551320146,0.4571297224211849,0.464260606247033,0.4714616631224093
degreeRank,0.5640093378554829,-5.375205319177779e-05,0.5334900397331932,1.0,0.8687297697356763,0.8938091338606681,0.8917604136456926,0.8135444930918436,0.8824502671858205,0.9520013791900716
closenessRank,0.539066637668631,-0.00017364591438029004,0.46129799592363563,0.8687297697356763,1.0,0.9123455877786516,0.9063387968732111,0.8651504548296963,0.9989189207329623,0.8874162745715123
betweennessRank,0.49092886830767407,-0.0006977575753225966,0.4160840858293349,0.8938091338606681,0.9123455877786516,1.0,0.9995157192289996,0.8040423815476713,0.9235865508483547,0.9629252912217517
loadRank,0.4909224922188151,-0.0006967870126881202,0.41414569551320146,0.8917604136456926,0.9063387968732111,0.9995157192289996,1.0,0.7986104495679277,0.9177805416911058,0.9621055926646437
reachRank,0.5428671403923702,0.00038048927306209997,0.4571297224211849,0.8135444930918436,0.8651504548296963,0.8040423815476713,0.7986104495679277,1.0,0.8658994314229533,0.7800413017509524
harmonicRank,0.5387406981048665,-0.00016620495642855353,0.464260606247033,0.8824502671858205,0.9989189207329623,0.9235865508483547,0.9177805416911058,0.8658994314229533,1.0,0.9029237830882828
pageRank,0.5403715315126407,-0.000162326969236084,0.4714616631224093,0.9520013791900716,0.8874162745715123,0.9629252912217517,0.9621055926646437,0.7800413017509524,0.9029237830882828,1.0
