,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,0.0,0.48495401006953665,0.452900249064294,0.48502112554289245,0.4849573620206662,0.4849573620206662,0.48512615366960843,0.48512851663817536,0.48495410072531886
instanceNumber,0.0,1.0,0.0,0.0004928579724975383,-4.07850352358875e-06,-1.4378444185166063e-07,-1.4378444185166063e-07,2.0244871104118684e-06,9.97146097526302e-07,8.842741287467039e-08
nodeNumber,0.48495401006953665,0.0,1.0,0.2331933314196517,0.24867009894470982,0.24784607187977675,0.24782732246561917,0.2486265537256594,0.24862713972660666,0.24798514058494872
degreeRank,0.452900249064294,0.0004928579724975383,0.2331933314196517,1.0,0.8219354983506807,0.9014456073151972,0.8976915907559202,0.8431625706950177,0.8431618262838086,0.9293782484149027
closenessRank,0.48502112554289245,-4.07850352358875e-06,0.24867009894470982,0.8219354983506807,1.0,0.8208145701544781,0.8147485017537811,0.9755134855420965,0.9755127186447129,0.7795030689727956
betweennessRank,0.4849573620206662,-1.4378444185166063e-07,0.24784607187977675,0.9014456073151972,0.8208145701544781,1.0,0.988311090393355,0.8399548364763914,0.8399552924622142,0.91620784379276
loadRank,0.4849573620206662,-1.4378444185166063e-07,0.24782732246561917,0.8976915907559202,0.8147485017537811,0.988311090393355,1.0,0.8335936680518458,0.8335940173181606,0.9159764214040215
reachRank,0.48512615366960843,2.0244871104118684e-06,0.2486265537256594,0.8431625706950177,0.9755134855420965,0.8399548364763914,0.8335936680518458,1.0,0.9999897585997349,0.7999011888509632
harmonicRank,0.48512851663817536,9.97146097526302e-07,0.24862713972660666,0.8431618262838086,0.9755127186447129,0.8399552924622142,0.8335940173181606,0.9999897585997349,1.0,0.7999016061851063
pageRank,0.48495410072531886,8.842741287467039e-08,0.24798514058494872,0.9293782484149027,0.7795030689727956,0.91620784379276,0.9159764214040215,0.7999011888509632,0.7999016061851063,1.0
