,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,-3.147847502946916e-17,0.5885314737467633,0.5538377001679616,0.5883724003765243,0.5885384039130634,0.5885384039130638,0.5886553648967799,0.5886619984516037,0.5885316004196709
instanceNumber,-3.147847502946916e-17,1.0,-4.27622170371191e-16,-0.0004833633494227885,-1.8473242486618056e-06,3.0455593513557175e-07,3.045559351355718e-07,7.519358128069797e-07,-6.338546271992809e-07,7.665547340935174e-08
nodeNumber,0.5885314737467633,-4.27622170371191e-16,1.0,0.3263169090693446,0.3471256172845038,0.34649945717393676,0.3465012836257205,0.34715420794903556,0.34715873546811504,0.34671986909750163
degreeRank,0.5538377001679616,-0.0004833633494227885,0.3263169090693446,1.0,0.956521172503766,0.9871793346119473,0.9863184755091149,0.9645390620640214,0.9645377414171517,0.9929461292245629
closenessRank,0.5883724003765243,-1.8473242486618056e-06,0.3471256172845038,0.956521172503766,1.0,0.9561306188160938,0.9532611127194381,0.999300313772834,0.99930037758959,0.9353912175329804
betweennessRank,0.5885384039130634,3.0455593513557175e-07,0.34649945717393676,0.9871793346119473,0.9561306188160938,1.0,0.9997885624632469,0.9637098504766826,0.9637101389607339,0.9901586185729199
loadRank,0.5885384039130638,3.045559351355718e-07,0.3465012836257205,0.9863184755091149,0.9532611127194381,0.9997885624632469,1.0,0.9609952245706641,0.9609955239635833,0.9902416780376242
reachRank,0.5886553648967799,7.519358128069797e-07,0.34715420794903556,0.9645390620640214,0.999300313772834,0.9637098504766826,0.9609952245706641,1.0,0.9999999492554068,0.9452244990288503
harmonicRank,0.5886619984516037,-6.338546271992809e-07,0.34715873546811504,0.9645377414171517,0.99930037758959,0.9637101389607339,0.9609955239635833,0.9999999492554068,1.0,0.9452245121000332
pageRank,0.5885316004196709,7.665547340935174e-08,0.34671986909750163,0.9929461292245629,0.9353912175329804,0.9901586185729199,0.9902416780376242,0.9452244990288503,0.9452245121000332,1.0
