,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,0.0,0.48495401006953665,0.5595644584217149,0.6564736729637884,0.7191696170084559,0.7189908798582241,0.41699159372405303,0.6560043478732475,0.6552785024604784
instanceNumber,0.0,1.0,0.0,0.0026157017260952124,-0.009861099044931626,-0.021318434388845533,-0.021291776683663572,0.005781256322375982,-0.009901064618173706,-0.009812731382115572
nodeNumber,0.48495401006953665,0.0,1.0,0.6071521190440389,0.4480205202236693,0.4532419359159428,0.4532044277790573,0.26818014501152976,0.4482195695269374,0.4528143969297061
degreeRank,0.5595644584217149,0.0026157017260952124,0.6071521190440389,1.0,0.579225138132574,0.5792711772452265,0.5792553242798861,0.32156201734729983,0.5794819160999929,0.5932143399654656
closenessRank,0.6564736729637884,-0.009861099044931626,0.4480205202236693,0.579225138132574,1.0,0.6996924833187215,0.6995844460584377,0.1532531170087407,0.9977527810951446,0.9400447238587106
betweennessRank,0.7191696170084559,-0.021318434388845533,0.4532419359159428,0.5792711772452265,0.6996924833187215,1.0,0.9992997620092476,0.2998879244539194,0.6996141174603305,0.7219021635377092
loadRank,0.7189908798582241,-0.021291776683663572,0.4532044277790573,0.5792553242798861,0.6995844460584377,0.9992997620092476,1.0,0.29982912877216306,0.6995081079750958,0.7218047595260716
reachRank,0.41699159372405303,0.005781256322375982,0.26818014501152976,0.32156201734729983,0.1532531170087407,0.2998879244539194,0.29982912877216306,1.0,0.15298000049958294,0.16752802398786426
harmonicRank,0.6560043478732475,-0.009901064618173706,0.4482195695269374,0.5794819160999929,0.9977527810951446,0.6996141174603305,0.6995081079750958,0.15298000049958294,1.0,0.9399899825898332
pageRank,0.6552785024604784,-0.009812731382115572,0.4528143969297061,0.5932143399654656,0.9400447238587106,0.7219021635377092,0.7218047595260716,0.16752802398786426,0.9399899825898332,1.0
