,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,-3.147847502946916e-17,0.5885314737467633,0.6799818523001563,0.7971383965860663,0.8713589235011252,0.8712109982760958,0.4325858537342811,0.7967788442240941,0.8074543438437991
instanceNumber,-3.147847502946916e-17,1.0,-4.27622170371191e-16,0.002165621127911444,-0.0019837908640924127,-0.017578814252363704,-0.0175532806139482,0.0016171978718759529,-0.0020083791137058275,-0.0019345922250726386
nodeNumber,0.5885314737467633,-4.27622170371191e-16,1.0,0.776035665795105,0.615909969940047,0.6294868087089872,0.6294593207966499,0.30360620298672736,0.6160230983466796,0.6279278053024578
degreeRank,0.6799818523001563,0.002165621127911444,0.776035665795105,1.0,0.7627483628053651,0.7553990036818917,0.7554309860842509,0.3227217365774406,0.7628999553297968,0.7803208467161695
closenessRank,0.7971383965860663,-0.0019837908640924127,0.615909969940047,0.7627483628053651,1.0,0.8660297202677745,0.8660148185475598,0.05742332535923837,0.9999016676313293,0.9801480026695983
betweennessRank,0.8713589235011252,-0.017578814252363704,0.6294868087089872,0.7553990036818917,0.8660297202677745,1.0,0.999940168009378,0.34599479718805043,0.8660999655917301,0.8888927370873488
loadRank,0.8712109982760958,-0.0175532806139482,0.6294593207966499,0.7554309860842509,0.8660148185475598,0.999940168009378,1.0,0.3459524567193163,0.8660866826706324,0.8888735016607395
reachRank,0.4325858537342811,0.0016171978718759529,0.30360620298672736,0.3227217365774406,0.05742332535923837,0.34599479718805043,0.3459524567193163,1.0,0.05705217122993408,0.10853895192825941
harmonicRank,0.7967788442240941,-0.0020083791137058275,0.6160230983466796,0.7628999553297968,0.9999016676313293,0.8660999655917301,0.8660866826706324,0.05705217122993408,1.0,0.9800837246288067
pageRank,0.8074543438437991,-0.0019345922250726386,0.6279278053024578,0.7803208467161695,0.9801480026695983,0.8888927370873488,0.8888735016607395,0.10853895192825941,0.9800837246288067,1.0
