,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,0.0,0.5953882660704258,0.6724103870928805,0.769867680073376,0.8329729568066158,0.8328078284968397,0.5175050048041286,0.7694350459714383,0.7681646225736316
instanceNumber,0.0,1.0,0.0,0.00406191735023681,-0.010547296582384508,-0.030952663568421027,-0.030895849280298312,0.006345386353111579,-0.010624320775216915,-0.010557784008841747
nodeNumber,0.5953882660704258,0.0,1.0,0.7956072763427688,0.6182415449404074,0.6245862457167659,0.6245321778310221,0.38524308683510194,0.6184666383476747,0.6242408969924437
degreeRank,0.6724103870928805,0.00406191735023681,0.7956072763427688,1.0,0.7527247326608797,0.7483080726089733,0.7483034563909293,0.4418520336769472,0.7529814544843035,0.7656938139862499
closenessRank,0.769867680073376,-0.010547296582384508,0.6182415449404074,0.7527247326608797,1.0,0.8436205103672617,0.843581689276904,0.20295205601473656,0.9998267799778999,0.9839828819616318
betweennessRank,0.8329729568066158,-0.030952663568421027,0.6245862457167659,0.7483080726089733,0.8436205103672617,1.0,0.9999277677984177,0.41805643753110017,0.8437294875846363,0.8601608203640883
loadRank,0.8328078284968397,-0.030895849280298312,0.6245321778310221,0.7483034563909293,0.843581689276904,0.9999277677984177,1.0,0.41799452424682465,0.843692051510766,0.8601218063154434
reachRank,0.5175050048041286,0.006345386353111579,0.38524308683510194,0.4418520336769472,0.20295205601473656,0.41805643753110017,0.41799452424682465,1.0,0.20251137111492107,0.2269426625325341
harmonicRank,0.7694350459714383,-0.010624320775216915,0.6184666383476747,0.7529814544843035,0.9998267799778999,0.8437294875846363,0.843692051510766,0.20251137111492107,1.0,0.9839673090102722
pageRank,0.7681646225736316,-0.010557784008841747,0.6242408969924437,0.7656938139862499,0.9839828819616318,0.8601608203640883,0.8601218063154434,0.2269426625325341,0.9839673090102722,1.0
