,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,0.0,0.48495401006953665,0.4943637458819782,0.4861933336246143,0.48495401006953665,0.48495401006953665,0.4854835363093712,0.48537423322053824,0.48495401006953665
instanceNumber,0.0,1.0,0.0,-4.642531383839531e-05,-2.7660277098003756e-05,0.0,0.0,4.042511617896283e-06,4.348053355412744e-06,0.0
nodeNumber,0.48495401006953665,0.0,1.0,0.7332888328556305,0.7176707655343307,0.6660585563816053,0.657847074032854,0.7270136052279079,0.7269983742224618,0.7100393828072832
degreeRank,0.4943637458819782,-4.642531383839531e-05,0.7332888328556305,1.0,0.7264456618646956,0.8901808436857631,0.885817497197065,0.7591177218637715,0.759107862678451,0.9594083473832774
closenessRank,0.4861933336246143,-2.7660277098003756e-05,0.7176707655343307,0.7264456618646956,1.0,0.6981060383498089,0.6829238296427194,0.966069027832709,0.9660496066578114,0.6995663895643917
betweennessRank,0.48495401006953665,0.0,0.6660585563816053,0.8901808436857631,0.6981060383498089,1.0,0.9797008378221965,0.7285965881545455,0.7285934328161974,0.9065613793349063
loadRank,0.48495401006953665,0.0,0.657847074032854,0.885817497197065,0.6829238296427194,0.9797008378221965,1.0,0.7134350635629456,0.7134302289705652,0.9058318155188533
reachRank,0.4854835363093712,4.042511617896283e-06,0.7270136052279079,0.7591177218637715,0.966069027832709,0.7285965881545455,0.7134350635629456,1.0,0.999912424161828,0.7322948586047096
harmonicRank,0.48537423322053824,4.348053355412744e-06,0.7269983742224618,0.759107862678451,0.9660496066578114,0.7285934328161974,0.7134302289705652,0.999912424161828,1.0,0.7322918722011877
pageRank,0.48495401006953665,0.0,0.7100393828072832,0.9594083473832774,0.6995663895643917,0.9065613793349063,0.9058318155188533,0.7322948586047096,0.7322918722011877,1.0
