,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,-3.147847502946916e-17,0.5885314737467633,0.5981312685027659,0.5890840815695262,0.5885314737467611,0.5885314737467612,0.5888171667514345,0.5887494425730834,0.5885314737467613
instanceNumber,-3.147847502946916e-17,1.0,-4.27622170371191e-16,0.00010543524508774073,-2.4560336581807132e-05,1.8618176073292495e-15,1.8955835993495353e-15,3.7111987388396625e-06,3.8813555523123344e-06,1.9122254097023903e-15
nodeNumber,0.5885314737467633,-4.27622170371191e-16,1.0,0.8967209662612217,0.8454360988115472,0.8239134650616103,0.8163275953646152,0.8572784673969461,0.8572698018748547,0.873825963641242
degreeRank,0.5981312685027659,0.00010543524508774073,0.8967209662612217,1.0,0.8359778001626073,0.9697518480280978,0.9684809523945026,0.858105806558396,0.8580963760092288,0.9959096085859409
closenessRank,0.5890840815695262,-2.4560336581807132e-05,0.8454360988115472,0.8359778001626073,1.0,0.8139159050064128,0.7966273087286296,0.9985181480464802,0.9985178466737032,0.8029674860375272
betweennessRank,0.5885314737467611,1.8618176073292495e-15,0.8239134650616103,0.9697518480280978,0.8139159050064128,1.0,0.9988453194502641,0.8358706016236085,0.8358613683305227,0.9756852500646552
loadRank,0.5885314737467612,1.8955835993495353e-15,0.8163275953646152,0.9684809523945026,0.7966273087286296,0.9988453194502641,1.0,0.8195340951731993,0.819523878258046,0.9764423556017121
reachRank,0.5888171667514345,3.7111987388396625e-06,0.8572784673969461,0.858105806558396,0.9985181480464802,0.8358706016236085,0.8195340951731993,1.0,0.9999997699647134,0.8268284664625921
harmonicRank,0.5887494425730834,3.8813555523123344e-06,0.8572698018748547,0.8580963760092288,0.9985178466737032,0.8358613683305227,0.819523878258046,0.9999997699647134,1.0,0.8268182161147317
pageRank,0.5885314737467613,1.9122254097023903e-15,0.873825963641242,0.9959096085859409,0.8029674860375272,0.9756852500646552,0.9764423556017121,0.8268284664625921,0.8268182161147317,1.0
