,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank,harmonicRank,pageRank
networkSize,1.0,0.0,0.5953882660704258,0.5444726098338297,0.5961720464581884,0.5953882660704258,0.5953882660704258,0.5958260992451748,0.5957951742681897,0.5953882660704258
instanceNumber,0.0,1.0,0.0,-0.0029478001976904387,-7.60735895469912e-06,0.0,0.0,1.2085424113158959e-05,7.755889574120517e-06,0.0
nodeNumber,0.5953882660704258,0.0,1.0,0.32554211249592657,0.35464273133712926,0.3574973897069706,0.35758086722596333,0.35440524159428716,0.3543821520876637,0.35846380086761176
degreeRank,0.5444726098338297,-0.0029478001976904387,0.32554211249592657,1.0,0.8986078879888765,0.9443753830827748,0.9397693785441745,0.9189623744342759,0.9189639804025891,0.9852054600945747
closenessRank,0.5961720464581884,-7.60735895469912e-06,0.35464273133712926,0.8986078879888765,1.0,0.9539253954211679,0.9524632560032309,0.9979613991294608,0.9979603081081867,0.8784678059938674
betweennessRank,0.5953882660704258,0.0,0.3574973897069706,0.9443753830827748,0.9539253954211679,1.0,0.999540909370102,0.9652328096009446,0.9652333905436414,0.9483272955119941
loadRank,0.5953882660704258,0.0,0.35758086722596333,0.9397693785441745,0.9524632560032309,0.999540909370102,1.0,0.9633700849024113,0.9633706095664989,0.9450045057570412
reachRank,0.5958260992451748,1.2085424113158959e-05,0.35440524159428716,0.9189623744342759,0.9979613991294608,0.9652328096009446,0.9633700849024113,1.0,0.9999997534123771,0.8999927619188853
harmonicRank,0.5957951742681897,7.755889574120517e-06,0.3543821520876637,0.9189639804025891,0.9979603081081867,0.9652333905436414,0.9633706095664989,0.9999997534123771,1.0,0.8999926645449586
pageRank,0.5953882660704258,0.0,0.35846380086761176,0.9852054600945747,0.8784678059938674,0.9483272955119941,0.9450045057570412,0.8999927619188853,0.8999926645449586,1.0
